"","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18","Trait19","Trait20","Trait21","Trait22","Trait23","Trait24","Trait25","Trait26","Trait27","Trait28","Trait29","Trait30","Trait31","Trait32","Trait33","Trait34","Trait35","Trait36","Trait37","Trait38","Trait39","Trait40","Trait41","Trait42","Trait43","Trait44","Trait45","Trait46","Trait47","Trait48","Trait49","Trait50"
"1",1,2.92506242380477,1.63438619091175,1.53180177765898,2.79012020421214,2.43720858520828,2.73130108159967,2.55196013231762,1.58509319950826,2.53790743253194,3.19478666479699,1.90517858578824,3.17070022900589,2.3791193778161,1.52432279638015,3.13216335815378,3.17444607871585,2.43105985154398,1.58716093166731,1.30553645896725,1.5363687092904,2.40272831753828,1.90654813847505,2.34342961688526,2.02925538853742,1.38051338330843,1.90457082842477,3.00722735584714,2.55329227563925,3.06305648968555,2.62707756157033,3.06110280589201,2.23215534561314,1.72669993690215,2.14578119223006,2.13393815304153,2.00993640371598,2.76169775868766,1.46026762551628,2.21501255384646,1.77715981169604,2.97694093757309,2.89752511843108,2.65540209435858,2.55629166099243,2.80318686808459,2.62121826899238,2.25385596207343,1.50435221916996,2.00370029709302
"2",2,3.74993670545518,4.78741218429059,4.09283155947924,4.3819350306876,4.57044783234596,4.78880922589451,4.61872320901603,4.66763671860099,4.22472415259108,3.70975337969139,5.43946090573445,5.1329166512005,3.71583510097116,4.90674298070371,4.56863196240738,4.73489382117987,3.76342721050605,4.7475567786023,5.28927658451721,4.46248820517212,4.15882440889254,3.82466173917055,3.58202860783786,3.52145570376888,5.08087636530399,3.84656521910802,3.73478244664147,5.37335033481941,5.44649952370673,4.7546341214329,4.79780336190015,4.39083831664175,4.38761200243607,5.01948250085115,4.5891977683641,5.08155054086819,4.2351672896184,4.9042033078149,4.23095214786008,4.86185357626528,5.15830993140116,3.73561976663768,4.92389706103131,5.11583398096263,4.2821615152061,4.26899791136384,4.38183643016964,4.96711751120165,5.38649685773998
"3",3,6.5874010825064,5.95122444932349,5.88200323772617,6.34269295702688,5.88142883148976,6.48626017686911,6.50820005475543,6.8323557714466,6.13978209882043,6.65122584975325,7.20386123587377,6.68925880431198,7.40689948596992,6.35503747011535,7.46421284019016,7.12605703505687,6.57480840268545,6.31854795222171,6.510899893241,6.95726959570311,6.54374074866064,6.24735957686789,6.10048472532071,6.58799529471435,6.95417396281846,6.67008268716745,7.20019351248629,6.36888707685284,7.15266278828494,6.30859378702007,7.04874163097702,5.82047298527323,7.32300805137493,7.1329434926156,7.1782119886484,6.62357823667116,5.76630464033224,7.27969926339574,6.10509230545722,7.34378315950744,6.24045174731873,6.87871125643142,7.72091563628055,7.47325427015312,6.03768054093234,7.22837307094596,7.09652805165388,6.67031505587511,6.89265284338035
"4",4,9.79726108396426,8.82818494876847,8.17604862526059,8.95598392561078,9.1427540499717,9.884346421808,9.06646848097444,9.62356487475336,8.96345705259591,9.68518196698278,9.2909305091016,8.22008938482031,9.36030000681058,8.50336789293215,8.01830095984042,8.61376043595374,8.80522592691705,9.90121046779677,9.64603191846982,9.66565152863041,9.15828030416742,8.50297537725419,8.33969130693004,8.84884646162391,8.88380230404437,8.67179526714608,9.1647162027657,9.19396310811862,8.9865332627669,9.5256473957561,8.27073759166524,8.10859882086515,9.5651080836542,9.69329080823809,9.85152861010283,9.72498006653041,9.71634642919526,8.48311109514907,9.22768376907334,8.02367274137214,9.05134013202041,9.75435700453818,8.39733815286309,9.12681405292824,9.20595064526424,8.44687097100541,8.47410837002099,9.83194133918732,9.62882696697488
"5",5,11.9246071667876,11.3002690996509,12.0991312453989,11.9354247960728,10.3970991296228,10.3254891515244,11.8242636260111,10.9669129566755,10.390628651483,12.0243283447344,11.7017254915554,11.5485523829702,11.235546089476,11.5513768817764,10.6130267700646,10.5973899231758,12.0044294695836,11.7720571758691,10.750711661065,10.4327178283129,10.9274945289362,10.8986887147184,10.4391695924569,11.0378197694663,11.6978809006978,11.0054134761449,11.0280413341243,10.4701938743237,10.5617491223384,12.1899966641795,11.8542358416598,11.4485369541217,11.5693722667638,11.3606439779978,11.779137959471,12.224536241265,11.216656135628,10.8671521141659,10.9697020531166,10.8205412297975,11.8123470956925,11.0249711384531,12.1259788090829,10.2577347515617,11.1177736257669,10.5647757009137,11.4999475891236,11.8881688925903,10.320399047574
"6",6,13.4002009723336,13.9980156631209,13.8951659202576,13.1175981303677,13.2168636517599,13.9928027936257,13.8112424043939,13.3994706817903,13.8820479172282,13.971690738108,13.5769697795622,13.2884057704359,13.5110630341806,14.3740019891411,14.1835919651203,14.1751513788477,12.5381770785898,13.2525274087675,14.2833054736257,13.1853969800286,12.7180563174188,13.5530608603731,12.5134287518449,12.7682823124342,12.5880200834945,14.0300159035251,12.5017486559227,12.6835836349055,12.5340141579509,13.1031164783053,13.2805459941737,13.032065179199,13.6039982675575,13.992535862606,13.6767085692845,14.2718895012513,12.6490833512507,12.6716779037379,13.7425687061623,12.8470430807211,13.7778942263685,14.3782786754891,13.0602268739603,13.8440519985743,13.4383779694326,12.9312285534106,12.8023060285486,14.3960708612576,14.2666106619872
"7",7,15.9598708536942,16.673987851711,15.358966168249,15.6984528510366,16.199533772422,15.9061985693406,16.5474451512564,15.669536219677,15.8674529853743,16.5388175670523,15.3145207206253,16.0794044861104,15.637429171009,16.6444518507924,15.9217130874749,15.0029945501592,15.1382099159528,14.7749906631652,15.6594669937622,16.056434212951,14.7874227159191,16.6302796539385,15.523408659501,15.2909895076882,15.6172908677254,16.4582969325129,14.9673310720827,16.164286545245,15.6148237457965,15.8454437411856,15.4993385903072,15.5032686444465,16.6521624636371,16.0498634048272,14.9557615232188,15.2583238978405,14.8303579667117,15.2204360088799,16.5721263813321,15.1413496204186,14.8279080099892,15.1684994220268,15.6621267388109,15.5552579609212,15.4155354348477,15.1077452718746,15.5029795684386,15.9553104091901,16.2798668772448
"8",8,18.761818556115,18.0727195669897,17.7654812084511,17.7456997479312,17.2436865530908,18.042109218426,17.7584749478847,17.7683021863922,18.0632247193716,17.7622068473138,18.2661011698656,17.0737145626917,17.8254495318979,18.8044675700366,18.487198502291,17.7933916682377,18.7568368753418,17.1022875672206,17.737992790062,18.3019912466407,17.8547825776041,17.6344498870894,18.2194376839325,18.8208422237076,18.4776064534672,17.7024027658626,18.8978075222112,18.2273707813583,18.2903323825449,17.9448635834269,18.3158123078756,17.5288739800453,17.4957339018583,18.504667644389,17.2782157547772,18.0148855918087,18.4472801210359,18.063833120279,17.8050785451196,17.12194952555,17.0791631741449,17.3517089807428,18.413687126711,18.9038892062381,17.7481192131527,18.1559658423066,17.4938041698188,18.1661128588021,17.3927250010893
"9",9,21.1357853112277,21.242002467392,20.0150549157988,19.437426605029,19.3036957539152,20.204288092209,19.2632908408996,19.2728491818998,20.6974977722857,21.0060892619658,19.5360030552838,20.128854697803,19.4612106948625,19.751356304856,20.7339974858332,19.8523491432425,19.7171362310182,20.6191423696,20.0760595782194,19.6730658586603,19.4772219734732,20.92031099624,21.0647226658184,21.0484804005828,19.7389164783526,19.3753113469575,20.5683093483094,20.9406302187126,19.822988769738,19.8093918750528,20.1946013111155,20.3899436399806,20.9959085478913,20.2809329081792,20.6775599012617,20.4893880712334,21.2322497887071,19.5534082821105,20.1367662295233,20.013149846578,20.0797089755069,20.9093309121672,19.5868686253671,19.8615411163773,20.6064455097076,19.6431293140631,19.6903431529645,20.0338176258374,21.0887581624556
"10",10,21.7443456682377,23.4821457136422,21.7673966027796,23.3280594409443,23.1918853707612,21.6292372392491,23.0455132913776,22.2546546244994,22.6620736015029,22.7363604228012,23.2351653361693,23.0982632273808,22.0101006249897,22.937818411272,23.4511254350655,21.535867548082,22.6360002420843,22.4651830149814,21.8238244433887,22.1329709752463,22.3276357147843,23.0733457724564,22.0173033918254,22.3439228064381,23.1053801970556,21.7995231002569,23.377552326303,22.0975547283888,21.8391609755345,22.3167910720222,23.0635145134293,22.9791429177858,22.6326834983192,21.641102057416,22.0997916581109,22.6673409347422,21.8239819044247,23.2367885615677,21.8738981164061,22.9402433927171,23.4861690560356,22.3444786402397,23.2038812511601,21.678278753534,23.0572154377587,21.5154016925953,21.8372142179869,21.5205866182223,22.3526238412596
