"","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18","Trait19","Trait20","Trait21","Trait22","Trait23","Trait24","Trait25","Trait26","Trait27","Trait28","Trait29","Trait30","Trait31","Trait32","Trait33","Trait34","Trait35","Trait36","Trait37","Trait38","Trait39","Trait40","Trait41","Trait42","Trait43","Trait44","Trait45","Trait46","Trait47","Trait48","Trait49","Trait50"
"1",1,52.2986325304955,52.4233477683738,51.040962042287,51.4880443261936,51.7161462092772,52.5915877236985,52.7504916018806,51.267158117611,52.4161288742907,52.0989711345173,51.8903025044128,51.970985588152,52.6336136478931,51.6230300730094,51.962839093525,52.9283427679911,51.2118786624633,51.3291151048616,51.2005260153674,51.8520331899635,52.5940347611904,51.6820264509879,52.6727437223308,52.799021191895,51.7207641042769,51.6030516852625,52.044126722496,52.5681291231886,51.9350338256918,51.2172129484825,51.3393887295388,51.2828943715431,51.0244655832648,52.4933590027504,52.1146870148368,51.3854948263615,52.3551953849383,52.512905637268,51.005994733423,52.6711487150751,51.2379195112735,52.3807279774919,52.2920872378163,51.4447039342485,51.5885695605539,51.8487868756056,51.7924685110338,51.5416870340705,52.564039746765
"2",2,54.6660586902872,54.3280610670336,53.0392265459523,54.7904855581,53.2461933852173,53.9163778149523,54.0418162671849,53.7158967386931,54.1226792372763,54.7976100989617,53.6261911145411,53.6356527688913,54.1017144885845,53.6702384450473,54.1494249710813,53.273508541286,54.8427147855982,53.9792936723679,54.6897364505567,54.5299500022084,54.2628189437091,54.2886647004634,54.4190588076599,54.3260812228546,54.2290048860013,54.7709614322521,53.48074056115,54.4707646006718,54.4071862571873,54.6610686308704,54.6839442877099,53.430982216727,54.9248967575841,53.4051467212848,53.4201081884094,53.1147791272961,53.6642803084105,54.6129101654515,53.7482715905644,53.9380154563114,54.0294881253503,53.9770719092339,54.1900443974882,54.8411752567627,54.6476494618692,53.0441959807649,54.970762245357,53.8569812662899,54.6039103996009
"3",3,55.8296669428237,55.1035279114731,56.6110615697689,56.9696701709181,55.1824239236303,56.4111884860322,55.8843482704833,55.3682613936253,55.2911506183445,55.5883046709932,56.3610342615284,55.8929581712,55.0234416234307,55.5019450471736,56.3121871878393,55.4077237760648,55.2220498924144,55.5874534794129,55.167431183625,56.2778644268401,56.424783504568,55.1406921800226,56.8674787953496,55.7161485566758,56.9548246022314,55.7016045604832,55.1684012836777,56.6670265970752,55.9181174011901,55.2279662229121,56.5629008761607,55.5061944527552,56.1889818776399,56.5519469482824,56.8491188781336,56.3316682088189,56.3649267172441,56.612055813428,55.8732522306964,56.6759381121956,55.6975802402012,56.2727759573609,56.0730950096622,56.5772814811207,55.4281031661667,56.9159101848491,56.5186208593659,56.7821608036757,55.3730111378245
"4",4,58.1012530978769,58.0437836167403,57.5988954738714,57.3604635880329,58.9203796777874,58.7277574511245,57.3160614459775,58.7576966588385,58.3159857685678,58.6044731144793,58.8536870083772,58.5461510168388,58.0686740623787,57.3773185582832,57.9037036863156,57.5851362561807,57.4989957762882,57.9396964996122,57.3388089239597,57.4249504623003,57.8746769041754,57.1203823066317,57.7035417030565,58.8732152865268,57.759940257296,58.109457435552,58.412711434532,58.9349417649209,57.4676376325078,58.0442734337412,58.4343056217767,57.9789220253006,58.47008352587,58.7891401550733,58.1097876476124,58.6582212126814,58.3767527490854,57.9411110128276,57.2403863444924,57.9666259521618,58.8024026919156,57.7952320617624,58.331691833213,58.8766147424467,58.0329318065196,57.8483571056277,57.4949846118689,58.1472811438143,57.0152245294303
"5",5,59.5114588025026,59.2282650587149,60.0918033472262,59.6204006741755,59.1322714672424,60.6297614662908,60.804662310984,60.2467690194026,59.6578172002919,59.5738869938068,60.8251270102337,60.9914024840109,60.695401203353,59.4741920083761,60.707460493315,60.8539591752924,59.0776879983023,60.2716242675669,60.0213802442886,59.365700204391,59.8566914331168,59.7766344924457,59.0708177671768,60.8062311103567,60.5475398898125,60.3580325627699,59.7523807054386,59.0606694878079,60.6374511136673,59.8583077224903,60.3343512732536,59.2006275942549,59.5934015498497,60.2565511940047,59.6225727368146,59.1344142775051,59.4635153543204,59.9378004353493,59.6593427038752,60.9213649509475,60.987315942999,60.6928679062985,59.7102268412709,59.6817891243845,60.5190584659576,59.0974080269225,60.959849676583,60.3354491051286,59.8840854666196
"6",6,62.5412171585485,61.8995422236621,62.3606657660566,62.8936321157962,61.3736508837901,61.9188160221092,61.968917070888,62.0312831737101,62.8655765117146,61.4754837881774,62.7240074425936,61.8475627214648,62.443537151441,61.9484787429683,61.1590725500137,61.8319548871368,61.9154246854596,61.8815427599475,61.7246255092323,61.7570600919425,62.0115429405123,61.9811874660663,61.0647897906601,62.14053064771,62.3041044282727,61.5654247347265,61.3602042226121,62.3800088739954,61.5231712511741,62.7072431286797,61.3284754301421,61.9777608718723,61.4338686414994,62.9785146987997,61.1059822286479,61.6261148927733,62.9921704819426,61.4229869102128,62.4047781806439,61.450516235549,61.210884148255,61.7602770640515,61.3953310144134,62.1983028580435,61.7050532512367,61.2386402841657,61.187289732974,62.8030035360716,61.2761545204557
"7",7,63.3717266991735,63.6481637391262,64.1344757089391,63.6427963972092,64.9689404447563,63.7158182109706,63.8119879188016,63.4979145242833,63.2171857827343,63.1606892934069,64.8334337314591,63.9238239023834,64.9133928501979,64.6358971046284,64.6150094042532,63.6752602960914,64.0814355718903,63.693666913081,63.480058117304,63.9291339493357,63.9638354228809,63.43066870654,63.3612562515773,64.6354584544897,63.5076988185756,64.2018640306778,63.2518483838066,64.9401348549873,63.3755876482464,63.2108158161864,63.6249442878179,64.5621917750686,64.0560402693227,64.1944824969396,64.1664125360548,63.9801032370888,64.1723647313192,64.2588851214387,64.723435992375,64.8903476842679,63.6949889850803,63.7914916011505,64.0498726419173,63.3669086112641,63.3437412977219,63.8819012697786,63.521252327133,63.164771234151,63.409387296997
"8",8,65.0385272954591,66.7683910834603,65.6307103275321,65.1794717852026,66.1342249047011,66.295253821183,66.5582827706821,65.5845822677948,66.8091836599633,66.2528122090735,66.4906713645905,65.7795395976864,65.607457654085,66.5609146906063,65.9471373972483,66.3576426906511,65.7661855593324,66.3001950765029,66.1268712952733,65.7201984412968,66.1592962127179,66.3967746389098,66.5577727295458,65.0334139065817,65.2116973246448,66.2748484960757,66.1628764248453,66.9793866123073,65.2186713763513,65.6372179286554,65.0888624740764,66.1410599644296,66.1126475422643,65.4315525484271,66.9980262499303,66.0150458663702,65.1026463522576,66.4481569482014,66.9088239148259,65.864558483474,65.5715900580399,66.7131227571517,66.7732377271168,65.642257200554,66.8912585531361,65.3916194085032,65.3795578451827,66.8384182974696,66.6623471006751
"9",9,67.0181739521213,68.79189514881,67.4227050244808,67.0203746156767,67.3636690136045,67.4006990785711,68.0131768551655,67.5331101627089,67.69115414517,68.1679275752977,68.9294932149351,67.1408072868362,68.3430760283954,68.9393806322478,68.1297769164667,68.1450505456887,68.3499687761068,67.6301819281653,67.8866816121154,68.1440781769343,67.6795575590804,67.0082580437884,67.3657487602904,67.70699001709,67.6512903263792,68.7567174425349,68.5248415498063,68.9931259918958,67.0408442635089,67.8201573542319,68.7075143163092,68.4985664580017,67.2704942049459,68.5396437197924,67.8354621585459,67.9842033162713,68.7231999174692,67.6925200810656,68.623143710196,68.2306887637824,68.2794054392725,68.5640302454121,68.7996464506723,68.3497507898137,67.2616667468101,67.5823674737476,68.6289204908535,68.8782686358318,68.6841540257446
"10",10,69.5974297523499,69.6729199993424,70.4283710517921,69.0806596619077,70.7782820309512,70.5996976140887,70.8478504372761,69.1765611758456,70.5205368814059,69.2031778269447,69.2989962459542,70.2661675331183,69.319330659695,69.3547525433823,70.7900192784145,69.6877044802532,70.284471607767,70.0870873946697,70.3984125624411,70.0631098840386,70.7905565504916,70.9738761116751,69.3851488702931,70.4720720783807,69.2328419238329,69.3265707143582,69.5713437390514,69.1540236445144,69.5624581021257,69.3354332423769,70.6588092702441,69.8255465724505,70.5750146694481,69.5735710626468,69.1989808604121,70.5755227142945,70.7385221356526,70.6466414686292,69.4667809344828,69.5774029325694,69.1096956939436,70.0830679759383,70.5131828510202,70.1694003203884,69.7460299376398,70.1543379207142,70.3549925233237,70.1472983108833,69.2591027882881
