"","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18","Trait19","Trait20","Trait21","Trait22","Trait23","Trait24","Trait25","Trait26","Trait27","Trait28","Trait29","Trait30","Trait31","Trait32","Trait33","Trait34","Trait35","Trait36","Trait37","Trait38","Trait39","Trait40","Trait41","Trait42","Trait43","Trait44","Trait45","Trait46","Trait47","Trait48","Trait49","Trait50"
"1",1,-3.01619450747967,-0.640540581196547,11.9824098311365,3.08021089807153,6.19581981841475,10.1635662447661,11.3122092168778,-7.52265285886824,6.52722162473947,1.85756610520184,10.9240287989378,9.2211723215878,1.23348846845329,-2.84510861802846,-7.21046628151089,-7.04946567025036,-3.72116125375032,7.26095410808921,1.96871056966484,6.90363132674247,-4.05472646653652,-7.4871632149443,-5.97301163431257,11.6926367748529,-6.05177114903927,5.53938994463533,-0.343066334724426,9.80365407466888,4.55102138034999,-3.56430554017425,6.51440862845629,-6.12495958525687,-5.71478327456862,-5.4144919263199,1.33174991514534,0.861113111488521,-0.110200049355626,-7.33980351313949,-4.38374401722103,-1.23864131234586,8.33963377214968,-2.14588575717062,3.71420241706073,-2.67331715393811,-4.00448221899569,-6.16436978988349,6.45653886999935,-7.3598847836256,-1.20784518960863
"2",2,13.0023092692718,7.73974100220948,11.5875912094489,11.8862411575392,13.7616549534723,8.1794932866469,-2.72794935759157,-1.17099029850215,3.61615809705108,6.10592328105122,-0.583173333667219,0.838031937368214,10.9726857310161,-1.94765901565552,-2.83799951802939,-5.41702590789646,8.66646194923669,3.04890132602304,-3.04592453781515,3.77207923308015,6.04148967750371,9.35387258976698,4.56291861459613,2.8491437677294,-2.69434789568186,4.29529329854995,-0.456261321902275,1.93373300693929,13.2100591631606,5.78144731558859,-4.06005282793194,7.26130022760481,8.90241673775017,1.44831814896315,1.94061830732971,2.09191239532083,13.5965404761955,4.33828428946435,6.15047259349376,9.8792805345729,0.313800388015807,7.66729326546192,8.9169248342514,-5.33778820559382,6.80917059630156,12.668813733384,5.37351407669485,2.88519314583391,3.54667828511447
"3",3,8.87728044670075,6.64423402305692,-1.46567790862173,0.77673779707402,7.68945921584964,8.58183059748262,14.6450240574777,10.542605355382,-0.589436596259475,9.29560730606318,2.94048819597811,15.1131889866665,12.331996046938,2.29835993982852,0.648203775286674,6.6757377833128,9.10645538847893,15.7051982814446,1.5976764857769,3.6925082039088,-3.53736013267189,14.5974705778062,11.7888420997187,15.8192788567394,10.5328909764066,5.18092825915664,15.8526176158339,-0.724510709755123,1.99185008089989,2.61956763826311,9.13126440159976,5.26097544841468,-0.701317010447383,13.0735170412809,9.02258316427469,15.7519571334124,10.9422216368839,12.8800239870325,-0.396010904572904,-2.83435150142759,4.0855478765443,7.6808095946908,9.06772409938276,13.5335484137759,15.2181619303301,2.14543410949409,3.02738568652421,4.88729395344853,12.2616914138198
"4",4,12.6404256066307,6.84965738747269,7.90570169407874,14.2863272288814,-1.4600963499397,8.23536844179034,9.71771936118603,13.8944156765938,12.0177309326828,13.8159224223346,9.04953597765416,3.91976076830178,4.80941592436284,2.81528918724507,2.26192155573517,2.58134256768972,15.6459465082735,-0.354707728140056,16.849218338728,7.29891193751246,15.0778278633952,5.5082798814401,15.1737292595208,-0.299352726899087,5.04552975017577,5.71981134079397,1.53803429286927,14.0506672784686,17.1623651282862,4.15540096536279,-1.16981060989201,7.99373471364379,4.20184654835612,6.34571562241763,0.744991248473525,16.691269136034,6.78729312215,11.3406532602385,16.3647119021043,10.5322069972754,17.6739156264812,10.0382669568062,12.8274727445096,-0.522778172045946,11.1401568651199,6.61678127199411,4.9767397409305,4.88803907949477,7.53546576201916
"5",5,2.05675175413489,7.548818285577,5.28629505541176,17.9467374226078,11.5663274237886,13.4299493348226,1.51066052727401,0.630448651500046,3.49522875156254,19.3814431410283,4.43104598205537,14.1310334997252,9.06528413761407,13.2264198828489,10.4703251831234,17.5897525670007,12.5718027865514,14.3895376147702,1.01066022645682,11.6480581974611,7.02510430011898,3.19011250976473,0.963825532235205,19.7561999689788,11.8386988667771,16.2650982616469,19.0285893110558,4.62067590560764,18.2058278424665,16.3920353865251,12.0350700989366,16.7614680156112,13.2618734519929,9.49745677877218,17.6025713188574,10.2383948583156,3.58572211116552,10.2608878910542,5.83403052762151,6.93741194438189,15.5421888874844,0.637967721559107,18.1608758913353,11.9657708192244,9.36480432748795,10.8428648114204,5.27931266929954,1.01415537297726,17.7700581029058
"6",6,19.8365063434467,21.8124944651499,20.9908700855449,19.5460279081017,8.5967382537201,6.54454523511231,14.8533008275554,3.93461626302451,8.40043990686536,8.09441709704697,20.3832614123821,3.75497589632869,20.473371360451,2.7584664458409,5.20964361075312,18.3317977637053,4.17371203005314,2.70885739754885,20.8738636672497,3.07278393115848,16.1475215135142,3.76164413336664,14.9764843033627,5.45925494562835,20.531187325716,7.52845602855086,17.7670055096969,5.86975000612438,16.9567509489134,11.9894788349047,15.2895311480388,10.6624027462676,11.9735972424969,9.20054604113102,4.95142453629524,21.5133544085547,20.5555210057646,4.41637928411365,16.7175060259178,14.6102539617568,21.1096059512347,2.54423287510872,7.59934037271887,3.53076575137675,21.1958649596199,9.17963097151369,15.7580971000716,10.0364196002483,9.56076290272176
"7",7,7.94620306324214,11.3524567019194,19.4700823640451,21.1202795952559,23.3574845837429,14.276776929386,14.7744030514732,11.6585821434855,20.2622505566105,6.79828431084752,17.4694423759356,13.9450485035777,21.8151626186445,14.2274627611041,7.13260965049267,22.3276520762593,14.2951336838305,5.35576743632555,10.8319391459227,9.28001266065985,22.2071496034041,13.2032298306003,15.2523199245334,22.7882081186399,6.87998437415808,13.0896357828751,22.1584710162133,7.01852853037417,21.7180112525821,8.9094199994579,4.56740154046565,15.7327425349504,6.01446974650025,13.1891796607524,11.3498959979042,6.99975499510765,9.5906607536599,13.0163769992068,11.2116150800139,4.27727976907045,12.6484072590247,16.4921843456104,5.61315734032542,12.5745852161199,20.4147887285799,17.8968556327745,17.4008376300335,10.3093335647136,17.2798925833777
"8",8,18.8218971379101,24.998757712543,16.5472545931116,12.4086266793311,24.9007923426107,24.0384522862732,18.4661750113592,15.5985184470192,21.6123051512986,17.7662892583758,25.1649051848799,22.8538297107443,17.2787038879469,8.95307697262615,6.86669957265258,24.8612912362441,16.0066019454971,24.4796753199771,19.7766991369426,19.4622201416641,8.09509277716279,16.4855973646045,6.08059783838689,11.6893497519195,20.5055928034708,19.9466147683561,7.11198224127293,21.0659606978297,24.5245674662292,23.301042447798,10.9281344050542,8.34169162344187,8.94340553693473,19.4857985330746,22.8855572585016,9.44692030921578,13.1312745846808,24.8290611561388,9.15221630502492,25.3823211360723,8.81656198669225,10.6741863386706,25.7056194534525,20.9035736918449,9.57181627303362,19.3753437874839,10.9639377230778,15.3952371971682,22.4827990718186
"9",9,11.3654030086473,19.9125234615058,11.8948153425008,19.55601602979,10.361145587638,14.4120693970472,14.8292679032311,21.0038753664121,11.9992004726082,8.09131740313023,15.3491906421259,21.4201991744339,22.2129539186135,14.269666091539,14.0487537458539,14.897849412635,14.4600926358253,27.3896497460082,18.1786130107939,16.3908936660737,8.74409230612218,26.819617559202,27.3552219867706,16.3787251636386,22.7251866245642,14.4404837973416,15.8065049741417,23.066702500917,22.1561113437638,27.2890779534355,15.6346125034615,22.8376720258966,12.7014704765752,26.7930590938777,9.37168274726719,22.2440914269537,13.3694573650137,20.8193311346695,22.2248140601441,21.7956749228761,23.3557765390724,11.2651356421411,24.8785562459379,12.1555140353739,24.9963424373418,26.0543061252683,14.2116659898311,12.8973433021456,22.6107163000852
"10",10,21.6788836754858,23.7552249617875,10.4810344101861,21.0154431732371,13.0172593286261,25.4994729114696,20.5244253249839,28.1273271515965,26.5417596464977,21.3470796309412,10.3434700518847,29.773619659245,18.9890056056902,19.0562470955774,25.0826616259292,17.5801504403353,16.1227581324056,26.7740339692682,13.1622346304357,16.261876784265,12.827304713428,20.7261888543144,10.0256321532652,29.4339187955484,24.3099917611107,18.5455051064491,20.9004929242656,23.076268453151,25.4960887134075,15.4603160498664,24.1790936375037,16.7021809564903,22.5558128068224,17.6375708868727,22.9294621571898,16.9056112831458,20.6343409093097,11.308583850041,29.2995285103098,12.4765081796795,28.7933651497588,16.4826250215992,12.3441515909508,21.7091142525896,28.2513379398733,24.8119383584708,23.1185160670429,29.6267198305577,21.75068449229
