pheno_category,phenotype
Outcome,Trait1
Exposure,Trait2
Exposure,Trait3
Exposure,Trait4
Exposure,Trait5
Exposure,Trait6
Exposure,Trait7
Exposure,Trait8
Exposure,Trait9
Exposure,Trait10
Exposure,Trait11
Exposure,Trait12
Exposure,Trait13
Exposure,Trait14
Exposure,Trait15
Exposure,Trait16
Exposure,Trait17
Exposure,Trait18
Exposure,Trait19
Exposure,Trait20
Exposure,Trait21
Exposure,Trait22
Exposure,Trait23
Exposure,Trait24
Exposure,Trait25
Exposure,Trait26
Exposure,Trait27
Exposure,Trait28
Exposure,Trait29
Exposure,Trait30
Exposure,Trait31
Exposure,Trait32
Exposure,Trait33
Exposure,Trait34
Exposure,Trait35
Exposure,Trait36
Exposure,Trait37
Exposure,Trait38
Exposure,Trait39
Exposure,Trait40
Exposure,Trait41
Exposure,Trait42
Exposure,Trait43
Exposure,Trait44
Exposure,Trait45
Exposure,Trait46
Exposure,Trait47
Exposure,Trait48
Exposure,Trait49
Exposure,Trait50
